title,time,county,link,img_url,content,town
台南61歲男早上釣魚失縱 晚上找到人沉在水底,2024/5/29 23:35,台南,https://news.ltn.com.tw/news/society/breakingnews/4688952,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688952_1_1.jpg,〔記者楊金城／台南報導〕台南市柳營區61歲吳姓男子今天（29日）一早到旭山里自家池塘釣魚，自此失去音訊，老母直到晚間未見兒子返家，憂心發生意外，趕緊報案搜尋，柳營消防分隊晚上8點多在池塘2公尺深的池底找到吳男，已溺斃；案由新營警分局報請檢方相驗，調查死因和落水原因。,"新營,柳營"
最rock警政宣導！警長揪同仁組樂團 飆歌嗨教反毒反詐騙,2024/5/29 23:21,屏東,https://news.ltn.com.tw/news/society/breakingnews/4688849,https://img.ltn.com.tw/Upload/news/600/2024/05/29/php5nmSx1.png,〔記者陳彥廷／屏東報導〕真．警察合唱團！基層警方近年想盡辦法宣導反詐，卻常遭民眾忽視，潮州警分局中山路所派出所長陳皇瑞與員警自組搖滾樂團，另類宣導詐騙伎倆讓人眼睛為之一亮，成功擴散成效。,潮州
苗縣議員曾美露自家銀樓遭搶 男偽裝買家奪63枚金戒價值90萬,2024/5/29 22:04,苗栗,https://news.ltn.com.tw/news/society/breakingnews/4688887,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688887_1_1.jpg,〔記者彭健禮／苗栗報導〕苗栗縣議員曾美露自家經營的銀樓，今（29）日晚間7點多遭搶走63個總重9兩多的金戒指，損失約90萬元，警方已鎖定對象追查中。,無相符區域
內湖三總醫師金錢糾紛 前女友叫乾弟亮槍逼簽本票,2024/5/29 21:50,台北,https://news.ltn.com.tw/news/society/breakingnews/4688876,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688876_1_1.jpg,〔記者鄭景議／台北報導〕台北市內湖三總急診室一名49歲的陳姓醫師，疑似在與前女友分手後引發金錢糾紛，本月6日晚上，林姓前女友要40歲的蔡姓乾弟帶人在醫院外要陳姓醫師上車談判，談判過程還一度亮出鎮暴槍要陳姓醫師簽新台幣400萬元本票，陳姓醫師堅持不從後才被放走，警方獲報後將前女友及乾弟等3人帶回，訊後依妨害自由等罪嫌將3人送辦。,內湖
供出毒品來源未減刑 毒梟釋憲獲准再審改輕判,2024/5/29 21:23,高雄,https://news.ltn.com.tw/news/society/breakingnews/4688820,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688820_1_1.jpg,〔記者鮑建信／高雄報導〕高市吳姓男子涉嫌販賣安非他命未遂，經最高法院判處徒刑3年定讞，他以供出毒品來源卻未獲減刑為由，聲請釋憲再審獲准，高雄高等法院依違反毒品危害防制條例，從輕改判1年6月。,無相符區域
不爽排隊吃牛肉湯 吸毒男女違停爭論被查出200咖啡包,2024/5/29 21:17,台南,https://news.ltn.com.tw/news/society/breakingnews/4688811,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688811_1_1.jpg,〔記者王捷／台南報導〕余姓駕駛開車載蘇姓女子，兩人在車上爭論某兩家牛肉湯到底哪間好，余男不想排隊吃牛肉湯，與蘇女吵到不可開交，沒注意到違規停車，遭警方攔查。警二分局民權所長何家慶在車上聞到K毒臭味，在車上查獲200包毒咖啡，而余男和蘇女到了派出所還在吵，爭論要是早點決定吃哪間牛肉湯，就不會被警方攔到。,無相符區域
張時嘉跨國打詐建功 獲國際檢察官協會特別貢獻獎,2024/5/29 21:02,台北,https://news.ltn.com.tw/news/society/breakingnews/4688801,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688801_1_1.jpg,〔記者陳彩玲／台北報導〕台中地檢署檢察官張時嘉，7年內破獲我國人民涉及的5個跨國詐騙集團，共起訴230名被告，扣得台幣1.6億犯罪所得，因打擊國際詐欺與組織犯罪成績卓越，獲國際檢察官協會頒發的年度特別貢獻獎。,無相符區域
10年前被解聘懷恨至今 前保全闖台中澄清醫院暴打9名醫護,2024/5/29 20:47,台中,https://news.ltn.com.tw/news/society/breakingnews/4688828,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688828_1_1.jpg,〔記者張瑞楨／台中報導〕台中市向姓男子今天上午闖入台中市中區的澄清綜合醫院平等院區，徒手亂打醫護人員，還一度語無倫次、破壞醫院設備，醫護人員共9人受擦挫輕傷，台中市警局一分局馳抵，將他依違反醫療法現行犯逮捕，至於他不分對象亂打人動機？他回答說，自己於10年前當該醫院的保全，卻被醫院無故解職懷恨10年，今天愈想愈氣，想要討個公道。,中區
黃聖曾辦三中案拔得頭籌 北檢主任檢察官票選出現「虛幣專家」,2024/5/29 20:19,台北,https://news.ltn.com.tw/news/society/breakingnews/4688751,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688751_1_1.jpg,〔記者陳彩玲／台北報導〕台北地檢署今舉辦主任檢察官票選，榜單列出前5名各有來頭，曾偵辦三中案、基泰大直工地坍塌案的黃聖拔得頭籌；一票之差位居第二的郭耿誠則破獲烏來民代現金賄選案，獲頒法眼明察；排名第三羅韋淵則被封為「虛幣專家」，具多張專業執照；位居第四則有「冷面殺手」之稱的顏伯融，曾辦吳明達預備殺人案、太陽會瑤山宮命案，以及偵辦高虹安涉詐助理費的盧慧珊。,無相符區域
因應高空救災 新竹縣將再添購超高消防雲梯車,2024/5/29 19:36,新竹,https://news.ltn.com.tw/news/society/breakingnews/4688742,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688742_1_1.jpg,〔記者廖雪茹／新竹報導〕因應高樓救災，新竹縣已採購一部最高可升到70公尺、約23層樓的消防雲梯車，為強化高空救災效率，縣長楊文科指示消防局編列預算，今年再添購一部高樓層雲梯車，以確保社區大樓住戶的安全，預計明年完成採購。,無相符區域
